,time,Vmag,Verr
867,2015.2267504109593,0.344,0.01
868,2015.2267884931503,0.339,0.021
869,2015.262418082192,0.432,0.013999999999999999
870,2015.2788852054791,0.392,0.042
871,2015.278890684932,0.374,0.057999999999999996
872,2015.2843454794524,0.406,0.027000000000000003
873,2015.2843512328764,0.307,0.024
874,2015.2870909589037,0.389,0.033
875,2015.2870967123288,0.379,0.015
876,2015.666076438356,0.703,0.011000000000000001
877,2015.6660838356165,0.704,0.009000000000000001
878,2015.7017394520547,0.693,0.006999999999999999
879,2015.7072073972606,0.704,0.01
880,2015.7209219178083,0.72,0.006
881,2015.7236589041092,0.769,0.009000000000000001
882,2015.7429005479453,0.718,0.004
883,2015.7510139726025,0.71,0.006
884,2015.8384942465755,0.702,0.005
885,2015.8468471232877,0.65,0.004
886,2015.86338520548,0.669,0.005
887,2015.8656043835622,0.68,0.011000000000000001
888,2015.8956501369862,0.65,0.005
889,2015.9230501369866,0.625,0.006
890,2015.9721671232878,0.605,0.01
891,2015.9724994520543,0.604,0.004
892,2015.975170410959,0.597,0.003
893,2015.9861958904116,0.599,0.006999999999999999
894,2015.9913671232875,0.591,0.006999999999999999
895,2015.9940769863008,0.574,0.008
896,2015.997033972603,0.61,0.002
897,2016.0324038251372,0.616,0.003
898,2016.0351836065574,0.594,0.003
899,2016.0434975409842,0.36,0.03
900,2016.0460636612024,0.584,0.005
901,2016.0489234972677,0.581,0.003
902,2016.0517114754105,0.544,0.004
903,2016.0572633879779,0.595,0.005
904,2016.0595273224044,0.59,0.004
905,2016.0597316939893,0.584,0.003
906,2016.0703844262296,0.63,0.008
907,2016.0708811475406,0.557,0.006
908,2016.0787748633884,0.609,0.006999999999999999
909,2016.0867486338798,0.45,0.01
910,2016.0894497267755,0.648,0.016
911,2016.0949453551912,0.37,0.01
912,2016.0976748633875,0.608,0.008
913,2016.1003336065571,0.678,0.012
914,2016.1005590163932,0.602,0.011000000000000001
915,2016.1113103825137,0.33,0.02
916,2016.1142234972683,0.616,0.003
917,2016.1197316939893,0.594,0.006
918,2016.1498131147546,0.587,0.004
919,2016.1659836065573,0.49,0.01
920,2016.1714480874316,0.29,0.003
921,2016.1743117486333,0.513,0.011000000000000001
922,2016.1853557377049,0.483,0.01
923,2016.1880483606556,0.476,0.012
924,2016.2015595628418,0.27,0.03
925,2016.209816939891,0.456,0.008
926,2016.2952732240433,0.28,0.02
927,2016.6670144808738,0.365,0.011000000000000001
928,2016.6670188524588,0.357,0.013999999999999999
929,2016.7298666666672,0.386,0.004
930,2016.732662021858,0.421,0.005
931,2016.7408499999997,0.388,0.005
932,2016.7408551912567,0.391,0.006
933,2016.7600057377044,0.451,0.006999999999999999
934,2016.7600109289615,0.451,0.005
935,2016.8283363387975,0.497,0.006
936,2016.8283415300546,0.516,0.004
937,2016.85503852459,0.517,0.003
938,2016.855044535519,0.509,0.008
939,2016.8557349726777,0.478,0.012
940,2016.8905775956289,0.499,0.011000000000000001
941,2016.8932117486343,0.52,0.008
