time,Mag
1983.1144931506851,8.2
1983.1210958904114,8.5
1983.123561643836,8.4
1983.1345205479454,8.6
1983.1400000000003,8.6
1983.1509589041098,8.5
1983.1536986301373,8.5
1983.1564383561647,8.2
1983.1574520547952,8.6
1983.1575342465753,8.5
1983.1646575342468,8.7
1983.1701369863017,8.5
1983.1736986301366,8.4
1983.1746575342465,8.4
1983.1747945205475,8.3
1983.1756164383564,8.3
1983.1767394520546,8.7
1983.1783561643838,8.5
1983.1794520547944,8.5
1983.1810958904111,8.3
1983.1829315068494,8.2
1983.1838356164385,8.4
1983.186575342466,8.4
1983.1893150684934,8.4
1983.190410958904,8.5
1983.1920547945208,8.3
1983.1920547945208,8.4
1983.1939726027392,8.6
1983.196794520548,8.6
1983.1975342465755,8.5
1983.1986301369864,8.4
1983.200273972603,8.3
1983.2030136986305,8.5
1983.2084931506852,8.2
1983.2095890410958,8.5
1983.2194520547948,8.4
1983.2194520547948,8.5
1983.220356164384,8.7
1983.2241095890406,8.6
1983.227671232877,8.3
1983.2331506849318,8.5
1983.2386301369866,8.3
1983.239479452055,8.7
1983.248767123287,8.6
1983.2523287671236,8.3
1983.2531506849311,8.5
1983.255068493151,8.4
1983.2578082191783,8.1
1983.2615068493155,8.7
1983.2660273972606,8.2
1983.270602739726,8.0
1983.2715068493153,8.2
1983.2734246575337,8.3
1983.27605479452,8.6
1983.2806027397257,8.7
1983.2852054794523,8.3
1983.2861369863012,8.6
1983.2924931506843,8.5
1983.296164383562,8.6
1983.2989041095893,8.4
1983.3109589041096,8.5
1983.325287671233,8.6
1983.3260273972603,8.4
1983.3444931506856,8.6
1983.3489863013695,8.6
1983.3506849315067,8.3
1983.3599999999997,8.7
1983.3643835616438,8.1
1983.3747397260267,8.6
1983.3945205479451,8.1
1983.4074246575342,8.6
1983.4265753424663,8.6
1983.427397260274,8.5
1983.4408219178079,8.4
1983.4520547945206,8.4
1983.4764383561642,8.1
1983.4873972602736,8.1
1983.5065753424656,8.1
1983.52301369863,8.2
1983.6661369863018,8.6
1983.6693150684926,8.4
1983.68802739726,8.1
1983.714246575343,8.6
1983.7153972602744,8.5
1983.723835616439,8.2
1983.745479452055,8.4
1983.751232876713,8.1
1983.7704109589047,8.1
1983.7950684931511,8.3
1983.823287671233,8.5
1983.8249315068497,8.4
1983.827671232877,8.5
1983.8526027397265,8.4
1983.8575342465754,8.4
1983.8578082191784,8.4
1983.8742465753428,8.1
1983.8824657534249,8.5
1983.8906849315072,8.1
1983.899452054794,8.6
1983.9071232876715,8.1
1983.9164109589046,8.5
1983.917534246575,8.4
1983.923561643836,8.3
1983.9272876712328,8.5
1983.9323287671227,8.6
1983.9345205479456,8.1
1983.9424657534246,8.6
1983.9534246575342,8.2
1983.965698630137,8.5
1983.972876712329,8.1
1983.982191780822,8.3
1983.986575342466,8.1
1983.9879452054797,8.3
1983.9936986301375,8.4
1983.9939726027392,8.4
1983.9978082191785,8.5
1984.0013661202186,8.4
1984.0040983606557,8.5
1984.0081967213114,8.1
1984.0153005464483,8.4
1984.0215846994533,8.2
1984.0248633879785,8.1
1984.0267759562837,8.7
1984.0270491803276,8.6
1984.0278688524595,8.0
1984.0289617486342,8.4
1984.0450000000005,8.5
1984.049180327869,8.3
1984.0502732240434,8.6
1984.0524590163939,8.2
1984.0579234972683,8.5
1984.0628415300546,8.0
1984.0642076502731,8.3
1984.067759562841,8.6
1984.0688524590169,8.2
1984.071584699454,8.3
1984.0743169398913,8.1
1984.0792349726776,8.3
1984.0797814207656,8.3
1984.0797814207656,8.6
1984.0805464480875,8.6
1984.0868852459012,8.3
1984.0928961748634,8.1
1984.0934426229512,8.3
1984.1016393442628,8.3
1984.1024590163934,8.4
1984.1043715847,8.3
1984.1060109289613,8.6
1984.1079234972678,8.3
1984.1161202185792,8.6
1984.120765027323,8.1
1984.1259562841533,8.1
1984.1289617486343,8.5
1984.139890710383,7.9
1984.1415300546444,8.4
1984.1423497267763,8.2
1984.1448087431695,8.3
1984.1450819672134,8.3
1984.1460382513667,8.6
1984.1478142076505,8.2
1984.1478142076505,8.3
1984.1502732240438,8.3
1984.1532786885248,8.3
1984.156284153006,8.3
1984.1614754098364,8.6
1984.1625683060108,8.5
1984.1642076502735,8.3
1984.1699453551917,8.4
1984.1734972677596,8.3
1984.1803278688524,8.2
1984.1833333333336,8.3
1984.1844262295083,8.3
1984.1890710382518,8.2
1984.207923497268,8.3
1984.2114754098359,8.3
1984.2115846994534,8.5
1984.2153005464477,8.6
1984.2161202185796,8.1
1984.2188524590167,8.3
1984.2191256830606,8.4
1984.2215846994538,8.1
1984.2297814207652,8.1
1984.2297814207652,8.3
1984.23087431694,8.3
1984.233688251366,8.6
1984.2363387978141,8.6
1984.243442622951,7.9
1984.243442622951,8.3
1984.2461748633882,8.2
1984.2486338797814,8.7
1984.2508196721305,8.6
1984.257103825137,8.3
1984.2581967213114,8.4
1984.259836065574,8.1
1984.2625683060112,8.3
1984.2707650273226,8.1
1984.27349726776,8.3
1984.2754098360651,8.8
1984.276229508197,8.3
1984.2816939890713,7.9
1984.293633879782,8.5
1984.295081967213,8.0
1984.2953551912572,8.3
1984.3015846994533,8.7
1984.3117486338801,8.1
1984.3117486338801,8.3
1984.3125683060107,8.5
1984.3144808743173,8.2
1984.3163934426225,8.6
